日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-08-12,00981A,2330,台積電,12134000.0,9.54
2026-08-12,00981A,2383,台光電,4863000.0,9.07
2026-08-12,00981A,2454,聯發科,5448000.0,7.12
2026-08-12,00981A,3037,欣興,20210000.0,6.58
2026-08-12,00981A,3017,奇鋐,5900000.0,5.59
2026-08-12,00981A,6223,旺矽,2443000.0,5.25
2026-08-12,00981A,2327,國巨*,25437000.0,4.99
2026-08-12,00981A,6669,緯穎,2496000.0,4.9
2026-08-12,00981A,2345,智邦,6419000.0,4.63
2026-08-12,00981A,2308,台達電,7070000.0,4.12
2026-08-12,00981A,8046,南電,9634000.0,3.97
2026-08-12,00981A,3711,日月光投控,19529000.0,3.95
2026-08-12,00981A,2303,聯電,87718000.0,3.51
2026-08-12,00981A,3653,健策,2375000.0,3.46
2026-08-12,00981A,3665,貿聯-KY,4616848.0,3.24
2026-08-12,00981A,6274,台燿,5499000.0,2.87
2026-08-12,00981A,5274,信驊,484900.0,2.74
2026-08-12,00981A,6805,富世達,2265000.0,1.35
2026-08-12,00981A,2368,金像電,4000000.0,1.3
2026-08-12,00981A,2449,京元電子,11295450.0,0.95
2026-08-12,00981A,8210,勤誠,2497000.0,0.82
2026-08-12,00981A,6187,萬潤,1334000.0,0.5
2026-08-12,00981A,4979,華星光,2424000.0,0.44
2026-08-12,00981A,2360,致茂,622000.0,0.44
2026-08-12,00981A,6510,精測,478000.0,0.44
2026-08-12,00981A,8996,高力,802000.0,0.31
2026-08-12,00981A,4958,臻鼎-KY,1682000.0,0.26
2026-08-12,00981A,3264,欣銓,3080000.0,0.22
2026-08-12,00981A,6278,台表科,3250000.0,0.18
2026-08-12,00981A,6271,同欣電,2224000.0,0.14
2026-08-12,00981A,6191,精成科,3988000.0,0.11
2026-08-12,00981A,3376,新日興,1741000.0,0.11
2026-08-12,00981A,6515,穎崴,23000.0,0.05
2026-08-12,00981A,4966,譜瑞-KY,140000.0,0.03
2026-08-12,00981A,2002,中鋼,5163000.0,0.03
2026-08-12,00981A,8358,金居,1000.0,0.0
2026-08-12,00981A,3661,世芯-KY,1000.0,0.0
2026-08-12,00981A,3443,創意,1000.0,0.0
2026-08-12,00981A,2439,美律,1000.0,0.0
2026-08-12,00981A,1590,亞德客-KY,1000.0,0.0
2026-08-12,00981A,3008,大立光,1000.0,0.0
2026-08-12,00981A,2382,廣達,1000.0,0.0
